,Alloy System,Composition,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References
639,CoFeNi,CoFeNi,MA+SPS,SS,FCC,3.0,1,H,3
640,,,AC,SS,FCC,3.0,1,,68
641,,,AC,SS,FCC,3.0,1,"H, M, MAG, R",70
642,,,AC+1200/24h/WQ,SS,FCC,3.0,1,H,89
643,CoFeNiSi,CoFeNiSi0.25,AC,SS,FCC,4.0,1,"H, M, MAG, R",70
644,,CoFeNiSi0.5,AC,SS+IM,FCC+Ni3Si,4.0,2,"H, M, MAG, R",70
645,,CoFeNiSi0.75,AC,SS+IM,FCC+Ni3Si,4.0,2,"H, M, MAG, R",70
646,CoMnNi,CoMnNi,AC+1100/24h/WQ,SS,FCC,3.0,1,H,89
647,CrFeNi,CrFeNi,AC+1200/24h/WQ,SS,FCC,3.0,1,H,89
648,CuFeHfTiZr,CuFeHfTiZr,MS,SS,AM,5.0,1,"DSC, M",120
649,CuHfNiTiZr,CuHfNiTiZr,MS,SS,AM,5.0,1,"DSC, M",120
650,,,AC,SS,AM,5.0,1,"DSC, M",120
651,FeMnNi,FeMnNi,AC+1100/24h/WQ,SS,FCC,3.0,1,H,89
652,MoPdRhRu,MoPdRhRu,AC+1700C/20h,SS,HCP,4.0,1,H,121
653,MoRhRu,MoRhRu,AC+1700C/20h,SS,HCP,3.0,1,H,121
